date,count,change,change_in_percentage
2013-12-08 22:41:59,8.0,,
2014-01-01 00:00:00,8.0,0.0,0.0
2014-02-01 00:00:00,8.0,0.0,0.0
2014-03-01 00:00:00,8.0,0.0,0.0
2014-04-01 00:00:00,8.0,0.0,0.0
2014-05-01 00:00:00,8.0,0.0,0.0
2014-06-01 00:00:00,8.0,0.0,0.0
2014-07-01 00:00:00,8.0,0.0,0.0
2014-08-01 00:00:00,8.0,0.0,0.0
2014-09-01 00:00:00,10.0,2.0,20.0
2014-10-01 00:00:00,11.0,1.0,9.090909090909092
2014-11-01 00:00:00,12.0,1.0,8.333333333333332
2014-12-01 00:00:00,13.0,1.0,7.6923076923076925
2015-01-01 00:00:00,13.0,0.0,0.0
2015-02-01 00:00:00,13.0,0.0,0.0
2015-03-01 00:00:00,13.0,0.0,0.0
2015-04-01 00:00:00,14.0,1.0,7.142857142857142
2015-05-01 00:00:00,14.0,0.0,0.0
2015-06-01 00:00:00,15.0,1.0,6.666666666666667
2015-07-01 00:00:00,15.0,0.0,0.0
2015-08-01 00:00:00,15.0,0.0,0.0
2015-09-01 00:00:00,16.0,1.0,6.25
2015-10-01 00:00:00,16.0,0.0,0.0
2015-11-01 00:00:00,16.0,0.0,0.0
2015-12-01 00:00:00,16.0,0.0,0.0
2016-01-01 00:00:00,16.0,0.0,0.0
2016-02-01 00:00:00,16.0,0.0,0.0
2016-03-01 00:00:00,16.0,0.0,0.0
2016-04-01 00:00:00,16.0,0.0,0.0
2016-05-01 00:00:00,17.0,1.0,5.88235294117647
